Production Companies,Film Title,Filming Location,Stars,Director,Genres,URL,Release Date
Two Cities Films,Odd Man Out,United Kingdom,James Mason;Robert Newton;Cyril Cusack,Carol Reed,,https://www.imdb.com/title/tt0039677/?ref_=adv_li_tt,"January 30, 1947"
Vernon Sewell Productions,Ghost Ship,United Kingdom,Dermot Walsh;Hazel Court;Hugh Burden,Vernon Sewell,,https://www.imdb.com/title/tt0044656/?ref_=adv_li_tt,October 1952
Romulus Films;Remus,Room at the Top,United Kingdom,Laurence Harvey;Simone Signoret;Heather Sears,Jack Clayton,Drama;Romance,https://www.imdb.com/title/tt0053226/?ref_=adv_li_tt,"December 29, 1958"
Individual Pictures,The Blue Lagoon,United Kingdom,Jean Simmons;Donald Houston;Susan Stranks,Frank Launder,Adventure;Drama;Romance,https://www.imdb.com/title/tt0041190/?ref_=adv_li_tt,"March 1, 1949"
Renown Pictures Corporation;Mayflower Pictures Corporation,Jamaica Inn,United Kingdom,Maureen O'Hara;Robert Newton;Charles Laughton,Alfred Hitchcock,Adventure;Crime,https://www.imdb.com/title/tt0031505/?ref_=adv_li_tt,"May 12, 1939"
Javelin Films;British Film-Makers,The Importance of Being Earnest,United Kingdom,Michael Redgrave;Richard Wattis;Michael Denison,Anthony Asquith,Comedy;Drama,https://www.imdb.com/title/tt0044744/?ref_=adv_li_tt,"June 2, 1952"
Twentieth Century Fox;Twentieth Century-Fox Productions,Night and the City,United Kingdom,Richard Widmark;Gene Tierney;Googie Withers,Jules Dassin,,https://www.imdb.com/title/tt0042788/?ref_=adv_li_tt,"June 9, 1950"
Gaumont British Picture Corporation,Sabotage,United Kingdom,Sylvia Sidney;Oscar Homolka;Desmond Tester,Alfred Hitchcock,Crime;Thriller,https://www.imdb.com/title/tt0028212/?ref_=adv_li_tt,"December 2, 1936"
Gaumont British Picture Corporation,Young and Innocent,United Kingdom,Nova Pilbeam;Derrick De Marney;Percy Marmont,Alfred Hitchcock,,https://www.imdb.com/title/tt0029811/?ref_=adv_li_tt,"February 17, 1937"
Warner Bros.;Marilyn Monroe Production I;Polyphony Digital,The Prince and the Showgirl,United Kingdom;United States,Marilyn Monroe;Laurence Olivier;Richard Wattis,Laurence Olivier,,https://www.imdb.com/title/tt0050861/?ref_=adv_li_tt,"June 13, 1957"
J. Arthur Rank Organisation;Ealing Studios,The Lavender Hill Mob,United Kingdom,Alec Guinness;Stanley Holloway;Sidney James,Charles Crichton,Comedy;Crime,https://www.imdb.com/title/tt0044829/?ref_=adv_li_tt,"June 28, 1951"
Hurley Productions;Victor Katona Productions,Mrs. Pym of Scotland Yard,United Kingdom,Mary Clare;Edward Lexy;Nigel Patrick,Fred Ellis,Crime;Mystery,https://www.imdb.com/title/tt0031682/?ref_=adv_li_tt,"April 13, 1940"
Lynx Films Ltd.,Circus of Horrors,United Kingdom,Anton Diffring;Erika Remberg;Yvonne Monlaur,Sidney Hayers,Drama;Horror,https://www.imdb.com/title/tt0053717/?ref_=adv_li_tt,April 1960
London Film Productions;L.O.P.,Richard III,United Kingdom,Laurence Olivier;Cedric Hardwicke;Nicholas Hannen,Laurence Olivier,,https://www.imdb.com/title/tt0049674/?ref_=adv_li_tt,"December 13, 1955"
